age,bigwinner,education,male,tixbot,winner,workthen,xearn1,xearn2,xearn3,xearn4,xearn5,xearn6,xearnp1,xearnp2,xearnp3,xearnp4,xearnp5,xearnp6,yearlpr,yearn1,yearn2,yearn3,yearn4,yearn5,yearn6,yearn7,yearnp1,yearnp2,yearnp3,yearnp4,yearnp5,yearnp6,yearnp7,yearw
76,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
59,0,8,1,5,1,1,0,3.679834197,0.667943775,11.08552839,10.33051301,0.793,0,1,1,1,1,1,24.74876056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
59,0,16,1,2,0,1,34.44951456,35.80990099,36.79834197,39.28433735,39.87372474,40.33605948,1,1,1,1,1,1,0,42.258,42.25774648,41.69061708,33.60742581,0,0,0,1,1,1,1,0,0,0,1986
49,0,16,0,10,1,1,0,4.389320388,10.08223542,8.713483938,11.90524498,16.39675072,0,1,1,1,1,1,6.843990335,17.29663197,16.9,14.93589437,24.39086391,24.87212903,23.4503749,23.43685756,1,1,1,1,1,1,1,1985
31,0,12,0,2,1,1,8.789134986,7.886145631,0,0,13.78473092,16.79548797,1,1,0,0,1,1,11.24576468,18.77154647,18.443,17.0053662,17.40073711,12.22393548,5.716474369,14.46929222,1,1,1,1,1,1,1,1985
63,0,12,1,2,1,0,34.5707989,34.44951456,35.80990099,36.79834197,39.28433735,29.6932666,1,1,1,1,1,1,47.97953903,19.62817844,19.27,0,0,0,0,1.067030837,1,1,0,0,0,0,1,1985
56,0,8,1,3,1,1,15.45572816,19.24088889,18.25720207,19.5244257,19.64572089,19.70660967,1,1,1,1,1,1,22.6028,12.007,11.16260563,9.749119189,0,7.251880643,4.400093979,5.690919458,1,1,1,0,1,1,1,1986
43,0,12,1,1,1,1,29.75337423,30.81933884,29.00941748,27.64717272,26.42893264,28.76559839,1,1,1,1,1,1,40.98691896,36.06989798,31.36536059,25.826,24.99767606,23.21426205,24.33296774,23.12920581,1,1,1,1,1,1,1,1984
60,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0535592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
59,0,16,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
45,0,14,1,5,1,1,34.79631902,36.70241322,29.57869903,35.80990099,36.79834197,42.24111647,1,1,1,1,1,1,10.04965544,42.258,42.426,43.018,43.018,43.36,43.688,43.01820964,1,1,1,1,1,1,1,1984
43,0,14,1,5,1,1,29.20033129,26.33872176,27.48379612,23.02926293,26.1313658,25.38296386,1,1,1,1,1,1,90.68371511,25.44956304,23.22684758,24.12,17.72799296,12.31540828,11.53098065,8.243060444,1,1,1,1,1,1,1,1984
45,1,14,1,0,1,1,23.97584049,25.2261157,27.15393204,26.22442244,26.13363731,30.28305221,1,1,1,1,1,1,137.2718375,37.13108758,40.33605948,42,42.25774648,41.69061708,42.42580645,43.01820964,1,1,1,1,1,1,1,1984
45,0,16,1,4,0,1,28.97002755,28.08100971,28.14754675,30.78453886,32.39032129,32.65636959,1,1,1,1,1,1,0,34.28565056,37.74,38.5915493,41.3756213,41.64976774,43.01820964,42.97092511,1,1,1,1,1,1,1,1985
43,0,12,1,8,1,1,17.72168097,16.74438135,21.33678715,18.7174437,19.31649071,20.528,1,1,1,1,1,1,79.11267606,10.65705634,0,0,1.677123183,3.299265786,1.562366358,1.516955017,1,0,0,1,1,1,1,1987
27,0,12,1,1,1,1,8.034921892,10.42619689,12.03619277,12.46845043,15.5293829,39.409,1,1,1,1,1,1,36.98358415,22.48729577,23.96284024,28.71078065,30.61336802,29.52279589,27.91714326,11.63883737,1,1,1,1,1,1,1,1987
69,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04965544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
48,0,12,1,5,1,1,20.0993719,21.36135922,22.06468647,17.52577824,15.93821687,16.82502406,1,1,1,1,1,1,9.374772491,19.96533086,15.633,21.35656338,22.37489096,26.59567742,31.09218669,32.49615859,1,1,1,1,1,1,1,1985
44,0,16,1,5,1,1,34.5707989,34.44951456,35.80990099,36.79834197,39.28433735,39.87372474,1,1,1,1,1,1,14.45884758,40.33605948,42,42.25774648,41.69061708,42.42580645,43.01820964,42.97092511,1,1,1,1,1,1,1,1985
27,0,16,0,1,1,0,3.596582524,2.263137514,6.796335751,3.415646586,1.69094129,0,1,1,1,1,1,0,39.1165,3.37,2.817183099,0.483611158,2.454509677,0.150941086,0.439365639,2.323238774,1,1,1,1,1,1,1,1986
36,0,12,0,1,1,1,16.27481628,15.75173472,16.69859438,18.10351492,18.62486989,19.265,1,1,1,1,1,1,14.47183099,20.05506338,15.70531868,13.69204516,18.24626167,13.24293098,0,0,1,1,1,1,1,0,0,1987
53,0,12,0,3,1,1,12.31281848,12.07417202,13.34126908,15.79126083,17.46775465,15.849,1,1,1,1,1,1,36.98358415,14.90984507,12.50533221,5.182135484,0,0,0.513237349,0,1,1,1,0,0,1,0,1987
51,0,12,0,2,1,0,14.78801942,3.673830583,4.117098446,16.96709237,15.17205775,9.37405948,1,1,1,1,1,1,1.139,0.318,1.055478873,4.310809806,6.136716129,1.953009946,4.898202643,0.16951675,1,1,1,1,1,1,1,1986
48,0,10,1,2,0,1,0,0,0,0,18.02457831,32.32197883,0,0,0,0,1,1,0,31.26757621,36.206,31.58814789,35.71959425,37.71830968,23.12249732,26.79245228,1,1,1,1,1,1,1,1985
37,0,14,0,1,1,1,10.97205721,14.87947772,13.33686747,6.449416747,6.436453532,12.62,1,1,1,1,1,1,23.13418662,10.9088662,5.040858833,3.693696774,3.516088753,2.299829662,10.84829081,3.937256747,1,1,1,1,1,1,1,1987
73,0,16,1,2,0,0,25.44070407,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
65,0,11,0,1,1,1,0,0,0,0.077231088,1.184032129,1.580180943,0,0,0,1,1,1,6.843990335,3.177992565,3.066,0,0,0,0,2.928299559,1,1,0,0,0,0,1,1985
59,0,12,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
53,0,12,1,3,1,1,29.74512651,22.51059067,9.915718876,25.07297786,10.94879554,25.679,1,1,1,1,1,1,13.14442641,25.32956338,29.54475063,25.33439355,21.2147697,18.34150367,22.24184747,23.32242491,1,1,1,1,1,1,1,1987
53,0,12,0,6,1,1,26.0115092,12.0092011,16.22718447,18.95392739,18.70355233,19.89416064,1,1,1,1,1,1,82.98745332,21.17843311,17.44127138,2.345,5.36615493,5.593954353,5.967012903,5.083360367,1,1,1,1,1,1,1,1984
43,0,16,1,2,0,1,0,0,4.17420462,22.39928705,39.28433735,39.87372474,0,0,1,1,1,1,0,40.33605948,42,42.25774648,41.69061708,42.10496129,43.01820964,42.97092511,1,1,1,1,1,1,1,1985
45,0,16,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
40,0,15,1,2,0,1,20.58165017,23.20226321,21.05838554,24.50335322,29.32716729,42,1,1,1,1,1,1,0,34.30209859,42.426,42.42580645,28.10271461,34.65194714,21.77704348,23.39296332,1,1,1,1,1,1,1,1987
43,0,16,1,4,1,1,14.93405501,13.2405886,14.33823293,14.82289894,17.17542007,18.691,1,1,1,1,1,1,22.14913732,16.28370423,15.54967371,13.97488387,15.30458761,13.67666373,14.60265716,16.33836401,1,1,1,1,1,1,1,1987
36,1,14,1,10,1,1,9.619438017,0,0,5.879784456,16.31895582,9.571803657,1,0,0,1,1,1,323.3159257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985
35,0,12,0,3,0,1,13.95621562,15.18726632,15.757751,15.99168431,17.05318959,18.251,1,1,1,1,1,1,0,18.66287324,19.30646154,26.07419355,26.87422188,24.88129222,25.71264433,26.51864913,1,1,1,1,1,1,1,1987
37,0,17,1,2,1,1,29.17723212,33.41266736,36.83154217,35.9760154,38.8030855,39.154,1,1,1,1,1,1,92.3119507,41.13280282,39.69409975,41.16363871,42.70207192,38.87339794,41.25897078,41.13451073,1,1,1,1,1,1,1,1987
30,0,16,0,2,0,1,7.71323301,4.88919692,10.06275648,16.29144578,17.66469297,16.80465428,1,1,1,1,1,1,0,21.865,26.67640845,27.58992392,29.08819355,30.38947207,20.21081938,16.81496793,1,1,1,1,1,1,1,1986
32,0,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.36827254,0,0,0,3.589043611,10.88838179,11.04905488,13.42050104,0,0,0,1,1,1,1,1987
26,0,16,1,1,0,0,0.575173554,0.754165049,4.093421342,4.461231088,5.065148594,0.970471607,1,1,1,1,1,1,0,12.50214126,27.625,6.753521127,6.485207101,0,0,0,1,1,1,1,0,0,0,1985
