id,nearc4,educ,black,smsa,south,exper,lwage,expersq,expersq_100
2,0,7,1,1,0,16,6.306275368,256,2.56
3,0,12,0,1,0,9,6.175867081,81,0.81
4,0,12,0,1,0,16,6.580639362,256,2.56
5,1,11,0,1,0,10,5.52146101,100,1
6,1,12,0,1,0,16,6.591673851,256,2.56
7,1,12,0,1,0,8,6.214608192,64,0.64
8,1,18,0,1,0,9,6.336825848,81,0.81
9,1,14,0,1,0,9,6.410174847,81,0.81
10,1,12,0,1,0,10,6.052089214,100,1
11,1,12,0,1,0,11,6.244166851,121,1.21
12,1,9,0,1,0,13,5.416100502,169,1.69
13,1,12,0,1,0,8,5.991464615,64,0.64
14,1,11,0,1,0,7,6.0330863,49,0.49
15,1,11,0,1,0,13,5.379897118,169,1.69
16,1,16,1,1,0,9,6.795705795,81,0.81
17,1,14,0,1,0,4,5.703782558,16,0.16
19,1,12,0,1,0,16,5.846438885,256,2.56
20,1,14,0,1,0,9,6.489204884,81,0.81
22,1,10,0,1,0,10,6.354370117,100,1
25,1,12,0,1,0,14,6.475432873,196,1.96
26,1,18,0,1,1,8,6.850126266,64,0.64
29,1,18,0,1,0,10,6.419994831,100,1
30,1,15,0,0,0,11,6.587550163,121,1.21
31,1,12,0,1,0,10,6.40357399,100,1
32,1,12,0,1,0,14,6.54102993,196,1.96
35,1,18,0,0,0,10,7.244227409,100,1
36,1,12,0,1,0,8,5.703782558,64,0.64
37,1,18,0,1,0,8,7.495542049,64,0.64
38,1,12,0,1,0,7,6.023447514,49,0.49
39,1,14,0,0,0,9,6.448889256,81,0.81
47,1,12,0,1,0,7,5.337538242,49,0.49
48,1,12,1,1,0,7,6.12468338,49,0.49
53,1,16,0,1,0,2,6.714170456,4,0.04
54,1,18,0,1,0,10,6.357842445,100,1
55,1,11,0,1,0,11,5.54126358,121,1.21
62,1,16,0,1,0,8,6.869014263,64,0.64
63,1,10,0,1,0,15,6.850126266,225,2.25
64,1,18,0,1,0,10,7.044033051,100,1
77,1,6,0,1,0,15,5.780743599,225,2.25
79,1,11,1,1,0,7,5.459585667,49,0.49
80,1,12,0,1,0,16,6.907755375,256,2.56
81,1,9,0,1,0,11,6.175867081,121,1.21
82,1,15,0,1,0,11,6.436150551,121,1.21
83,1,11,0,1,0,17,6.47697258,289,2.89
87,1,12,1,1,0,6,5.840641499,36,0.36
90,1,16,0,1,1,2,5.940171242,4,0.04
91,1,12,0,1,0,6,5.866467953,36,0.36
92,1,13,0,1,0,6,6.49072361,36,0.36
93,1,17,0,1,0,5,6.431331158,25,0.25
97,1,12,0,1,0,7,6.086774826,49,0.49
98,1,12,1,1,0,8,6.603943825,64,0.64
102,1,11,1,0,1,14,5.634789467,196,1.96
107,1,10,0,1,0,8,6.0730443,64,0.64
108,1,12,0,1,0,9,6.558197975,81,0.81
110,1,12,0,1,0,9,6.052089214,81,0.81
111,1,12,0,1,0,6,6.347389221,36,0.36
112,1,16,0,1,0,8,6.287858486,64,0.64
115,1,16,0,1,0,10,6.606650352,100,1
116,1,13,0,1,0,13,6.511745453,169,1.69
119,1,12,0,1,0,16,6.645091057,256,2.56
