Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,38.82,40.17,41.55,42.89,43.27,43.75,45.27,45.95,47.01,46.85,47.03,47.27,47.81,49.47,49.06,49.85,50.43,51.65,52.55,52.8,54.15,54.01,54.64,54.66,53.39,57.1,57.41,56.33
Austria,51.11,51.18,51.62,53.57,54.51,55.83,56.53,57.59,58.07,59.18,60.63,62.22,63.81,63.81,63.36,64.29,64.95,65.65,66.08,66.33,67.27,67.18,68,68.31,68.2,69.79,69.47,71.05
Belgium,58.6,59.36,60.91,61.33,62.59,63.09,63.23,63.67,64.2,66.28,67.29,67.64,68.89,68.46,68.02,69.05,68.58,68.92,69.52,70.51,71.6,71.67,71.53,71.68,72.26,74.59,73.94,72.94
Costa Rica,12.88,12.93,12.74,12.88,13.18,13.42,13.34,13.43,13.62,13.96,13.72,14.26,14.45,14.91,15.33,17.12,17.94,17.69,18.62,19.09,19.71,20.57,21.06,21.45,22.04,25.4,24.06,22.95
Czechia,23.56,24.46,24.4,24.43,24.92,26,27.99,28.43,29.9,31.15,32.77,34.78,36.26,36.14,35.3,36.13,36.73,36.89,37,37.43,39.39,39.25,40.6,41.16,42.27,43.29,43.48,42.56
Denmark,56.31,57.66,58.07,58.01,58.6,59.95,59.74,60.23,61.23,63.18,64.05,64.89,65.01,64.04,63.45,65.94,66.17,67.43,67.96,69.04,70.02,70.86,72.18,73.77,74.32,74.73,75.28,74.28
Finland,43.94,44.82,46.21,48.06,49.18,51.28,52.29,52.79,53.92,55.71,56.74,58.12,60.02,59.32,56.66,58.63,59.48,58.53,58.74,58.82,59.3,60.73,62.26,61.51,61.76,61.81,62.29,61.57
France,52.72,53.28,54.14,55.43,56.12,57.57,58.6,60.3,60.63,61.28,61.82,63.28,62.97,62.54,61.91,62.73,63.38,63.59,64.47,65.11,65.66,65.77,67.18,67.41,67.64,67.68,66.48,65.47
Germany,51.39,52.26,53.54,54.08,54.7,56.05,57.46,57.99,58.44,58.97,59.9,60.86,61.58,61.59,59.74,61.12,62.71,63.09,63.39,64.05,64.38,65.25,66.41,66.55,67.02,67.8,68.19,68.54
Greece,29.97,31.02,32.57,32.4,33.45,34.6,36,36.67,38.28,39.45,38.33,39.97,41.02,40.45,39.4,39.04,36.29,34.41,33.62,33.42,34.62,33.18,33.65,32.48,33.11,34.12,34.13,34.54
